2025-11-19 14:57:17,674 | main.DynamicAppConfigLoader | INFO | 💡️ Spark configs --> {'spark': {'spark.app.name': 'SparkAppLocal', 'spark.master': 'local[3]', 'spark.sql.shuffle.partitions': 2}, 'paths': {'dataset_dir': 'dataset', 'export_dir': 'export', 'log_dir': 'log4j_properties/logs', 'log4j_file': 'log4j_properties/log4j.properties'}, 'custom': {'before_spark_initialization_logs': 'before_spark_initialization_logs.log'}}
2025-11-19 14:57:17,674 | main.CleanupAppFileSystemOnReRun | WARNING | ⚠️ derby.log file does not exists: /home/aditya/github/Data_engineering_project/derby.log
2025-11-19 14:57:17,674 | main.CleanupAppFileSystemOnReRun | WARNING | spark-warehouse directory does not exists: /home/aditya/github/Data_engineering_project/spark-warehouse
2025-11-19 14:57:17,674 | main.CleanupAppFileSystemOnReRun | WARNING | metastore directory does not exists: /home/aditya/github/Data_engineering_project/metastore_db
2025-11-19 14:57:17,674 | main.CleanupAppFileSystemOnReRun | INFO | Deleted existing log directory: /home/aditya/github/Data_engineering_project/log4j_properties/logs
2025-11-19 14:59:11,090 | main.DynamicAppConfigLoader | INFO | 💡️ Spark configs --> {'spark': {'spark.app.name': 'SparkAppLocal', 'spark.master': 'local[3]', 'spark.sql.shuffle.partitions': 2}, 'paths': {'dataset_dir': 'dataset', 'export_dir': 'export', 'log_dir': 'log4j_properties/logs', 'log4j_file': 'log4j_properties/log4j.properties'}, 'custom': {'before_spark_initialization_logs': 'before_spark_initialization_logs.log'}}
2025-11-19 14:59:11,090 | main.CleanupAppFileSystemOnReRun | WARNING | ⚠️ derby.log file does not exists: /home/aditya/github/Data_engineering_project/derby.log
2025-11-19 14:59:11,090 | main.CleanupAppFileSystemOnReRun | WARNING | spark-warehouse directory does not exists: /home/aditya/github/Data_engineering_project/spark-warehouse
2025-11-19 14:59:11,091 | main.CleanupAppFileSystemOnReRun | WARNING | metastore directory does not exists: /home/aditya/github/Data_engineering_project/metastore_db
2025-11-19 14:59:11,091 | main.CleanupAppFileSystemOnReRun | INFO | Deleted existing log directory: /home/aditya/github/Data_engineering_project/log4j_properties/logs
2025-11-19 15:08:33,168 | main.DynamicAppConfigLoader | INFO | 💡️ Spark configs --> {'spark': {'spark.app.name': 'SparkAppLocal', 'spark.master': 'local[3]', 'spark.sql.shuffle.partitions': 2}, 'paths': {'dataset_dir': 'dataset', 'export_dir': 'export', 'log_dir': 'log4j_properties/logs', 'log4j_file': 'log4j_properties/log4j.properties'}, 'custom': {'before_spark_initialization_logs': 'before_spark_initialization_logs.log'}}
2025-11-19 15:08:33,168 | main.CleanupAppFileSystemOnReRun | WARNING | ⚠️ derby.log file does not exists: /home/aditya/github/Data_engineering_project/derby.log
2025-11-19 15:08:33,168 | main.CleanupAppFileSystemOnReRun | WARNING | spark-warehouse directory does not exists: /home/aditya/github/Data_engineering_project/spark-warehouse
2025-11-19 15:08:33,168 | main.CleanupAppFileSystemOnReRun | WARNING | metastore directory does not exists: /home/aditya/github/Data_engineering_project/metastore_db
2025-11-19 15:08:33,169 | main.CleanupAppFileSystemOnReRun | INFO | Deleted existing log directory: /home/aditya/github/Data_engineering_project/log4j_properties/logs
2025-11-19 15:09:30,219 | main.DynamicAppConfigLoader | INFO | 💡️ Spark configs --> {'spark': {'spark.app.name': 'SparkAppLocal', 'spark.master': 'local[3]', 'spark.sql.shuffle.partitions': 2}, 'paths': {'dataset_dir': 'dataset', 'export_dir': 'export', 'log_dir': 'log4j_properties/logs', 'log4j_file': 'log4j_properties/log4j.properties'}, 'custom': {'before_spark_initialization_logs': 'before_spark_initialization_logs.log'}}
2025-11-19 15:09:30,219 | main.CleanupAppFileSystemOnReRun | WARNING | ⚠️ derby.log file does not exists: /home/aditya/github/Data_engineering_project/derby.log
2025-11-19 15:09:30,219 | main.CleanupAppFileSystemOnReRun | WARNING | spark-warehouse directory does not exists: /home/aditya/github/Data_engineering_project/spark-warehouse
2025-11-19 15:09:30,219 | main.CleanupAppFileSystemOnReRun | WARNING | metastore directory does not exists: /home/aditya/github/Data_engineering_project/metastore_db
2025-11-19 15:09:30,220 | main.CleanupAppFileSystemOnReRun | INFO | Deleted existing log directory: /home/aditya/github/Data_engineering_project/log4j_properties/logs
